                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6675,                 1.6758,                 1.0659,                0.11762,                0.26861,                0.05869,                0.03027,                 1.6932,                 9.0674,                 1.1264,             0.00065152,             0.00065152,             0.00065152
                      2,                 1.5177,                 1.0632,                 1.0339,                0.00144,                0.06288,                0.00077,                0.00022,                 4.0858,                    inf,                 9.4873,              0.0012964,              0.0012964,              0.0012964
                      3,                   1.56,                 1.0656,                 1.0541,                0.56021,                0.32594,                0.35129,                0.17636,                  1.813,                  2.529,                 1.3225,              0.0019193,              0.0019193,              0.0019193
                      4,                  1.534,                 1.0489,                 1.0549,                0.41252,                0.20758,                0.20539,                0.10718,                 2.0087,                 2.2266,                 1.3252,               0.001901,               0.001901,               0.001901
                      5,                 1.4853,                 1.0168,                 1.0383,                0.69306,                0.45862,                0.52788,                0.29734,                 1.4924,                 1.6328,                 1.0661,               0.001901,               0.001901,               0.001901
                      6,                 1.4559,                 0.9727,                 1.0197,                0.73291,                0.42117,                0.50438,                0.30539,                 1.3977,                 1.1684,                 1.0319,               0.001868,               0.001868,               0.001868
                      7,                 1.4272,                0.96169,                 1.0168,                 0.7284,                0.48851,                0.56031,                  0.324,                 1.4095,                 1.0425,                 1.0234,               0.001835,               0.001835,               0.001835
                      8,                 1.3862,                0.92935,                0.99951,                0.75577,                0.48451,                0.57809,                 0.3439,                 1.3388,                0.99461,                0.99717,               0.001802,               0.001802,               0.001802
                      9,                  1.354,                0.89352,                0.99118,                0.76911,                0.50205,                0.58262,                0.33811,                 1.3973,                 1.0812,                 1.0374,               0.001769,               0.001769,               0.001769
                     10,                 1.3468,                0.88166,                 0.9853,                0.76762,                 0.5289,                 0.6023,                0.35247,                  1.343,                  1.157,                 1.0108,               0.001736,               0.001736,               0.001736
                     11,                 1.3239,                0.85851,                0.97929,                0.79552,                0.51262,                0.60843,                0.36652,                 1.2945,                 0.9691,                0.98768,               0.001703,               0.001703,               0.001703
                     12,                 1.2952,                0.85097,                 0.9757,                0.78195,                0.53352,                0.62128,                0.37755,                 1.2875,                0.90126,                0.99262,                0.00167,                0.00167,                0.00167
                     13,                 1.2769,                0.83166,                0.96738,                0.79895,                0.55247,                0.64384,                 0.3934,                 1.2674,                0.81225,                0.98521,               0.001637,               0.001637,               0.001637
                     14,                 1.2601,                0.81141,                0.96498,                0.79342,                0.53801,                 0.6321,                0.38051,                 1.2545,                 0.8129,                0.97697,               0.001604,               0.001604,               0.001604
                     15,                 1.2452,                0.79321,                 0.9582,                0.76563,                0.54323,                0.62812,                0.38494,                 1.2734,                0.82561,                0.98268,               0.001571,               0.001571,               0.001571
                     16,                 1.2305,                0.78644,                0.95281,                0.81776,                0.55663,                0.63934,                0.38631,                 1.2526,                0.84348,                0.97229,               0.001538,               0.001538,               0.001538
                     17,                 1.2414,                0.78955,                0.95357,                0.80451,                0.52701,                0.63546,                0.38533,                 1.2769,                0.80532,                0.98303,               0.001505,               0.001505,               0.001505
